coarse_agg_weight,fine_agg_weight,current_weight,fly_ash_weight,AEA_dose,type_awra_dose,W/(C+P),design_strength,actual_strength,poor_strength,overdesign
15400,14920,4140,1005,0.3,5.05,0.48,3000,4560,no,1.52
15390,15100,4145,1010,0.32,5.04,0.48,3000,3440,no,1.146666667
15470,14890,4150,990,0.25,5.14,0.48,3000,3790,no,1.263333333
16230,15920,4350,1040,0.25,5.12,0.48,3000,3880,no,1.293333333
15410,14980,4130,995,0.3,5.15,0.45,3000,3480,no,1.16
2400,2260,610,135,0.39,5.37,0.38,3000,4130,no,1.376666667
15400,15300,4140,1000,0.34,5.14,0.47,3000,4170,no,1.39
15430,14970,4150,990,0.34,5.14,0.45,3000,4410,no,1.47
15490,14930,4160,990,0.28,5.05,0.43,3000,4020,no,1.34
15420,15180,4135,990,0.32,5.07,0.43,3000,5230,no,1.743333333
15460,15220,4140,995,0.3,5.14,0.43,3000,4020,no,1.34
15450,15220,4150,1040,0.36,5.01,0.43,3000,3720,no,1.24
15390,15110,4135,1005,0.28,5.06,0.43,3000,3780,no,1.26
15420,14840,4145,1030,0.24,5.1,0.41,3000,4030,no,1.343333333
15400,14830,4140,995,0.25,5.06,0.4,3000,4370,no,1.456666667
15390,14830,4130,995,0.25,5.15,0.48,3000,3830,no,1.276666667
15350,15900,3795,995,0.32,4.18,0.54,3000,3860,no,1.286666667
15240,15920,3805,1010,0.29,4.11,0.54,3000,3340,no,1.113333333
1528,1497,380,100,0.6,4.17,0.59,3000,4140,no,1.38
13680,14910,3912,852,0.42,0,0.49,3000,4090,no,1.363333333
15030,16380,4320,936,0.38,0,0.5,3000,3620,no,1.206666667
13650,15120,3912,852,0.38,0,0.45,3000,4740,no,1.58
13740,14880,3930,852,0.38,0,0.52,3000,4550,no,1.516666667
15000,16650,4326,924,0.38,0,0.45,3000,4580,no,1.526666667
14340,15810,4122,900,0.5,0,0.47,3000,4000,no,1.333333333
13650,14970,3912,852,0.5,0,0.46,3000,5360,no,1.786666667
13680,14970,3918,840,0.5,0,0.47,3000,4220,no,1.406666667
13680,15030,3912,852,0.38,0,0.46,3000,3900,no,1.3
13225,15125,3915,845,0.35,0,0.49,3000,5180,no,1.726666667
13225,15450,3920,845,0.35,0,0.48,3000,4520,no,1.506666667
15300,15120,4035,855,0.46,0,0.48,3000,5470,no,1.823333333
16840,16780,4370,930,0.46,0,0.48,3000,5920,no,1.973333333
15080,16600,4280,925,0.52,0,0.5,3000,6760,no,2.253333333
15450,15625,3925,855,0.52,0,0.56,3000,4210,no,1.403333333
15425,15625,3925,840,0.55,0,0.57,3000,3330,no,1.11
15475,15575,3970,860,0.56,0,0.59,3000,3380,no,1.126666667
15450,15550,3915,850,0.57,0,0.58,3000,3490,no,1.163333333
17400,16760,4305,930,0.28,0,0.57,3000,3140,no,1.046666667
13260,12270,3012,762,0.4,4.03,0.52,3000,2970,yes,0.99
16575,15000,3755,935,0.39,4.01,0.55,3000,4010,no,1.336666667
16625,14875,3755,945,0.43,4,0.48,3000,4670,no,1.556666667
6625,6250,1595,405,0,2.8,0.51,3000,4120,no,1.373333333
16525,15825,4020,1000,0,2.95,0.51,3000,2760,yes,0.92
16100,15875,4000,1005,0,2.96,0.45,3000,5260,no,1.753333333
16380,15840,3995,1070,0,2.96,0.51,3000,5040,no,1.68
14825,15550,4300,1250,0.47,0,0.5,3000,5320,no,1.773333333
14800,15475,4300,1250,0.58,0,0.5,3000,4580,no,1.526666667
14825,15400,4290,1240,0.58,0,0.5,3000,3940,no,1.313333333
14775,15600,4305,1255,0.5,0,0.49,3000,4880,no,1.626666667
14950,15350,4280,1245,0.51,0,0.49,3000,5480,no,1.826666667
15380,15060,4288,1264,0.45,0,0.48,3000,4030,no,1.343333333
